Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Glenroy,25 Hilda St,3,h,570000,S,YPA,19/08/2017,11.2,3046,3,1,1,308,93,1950,Moreland City Council,-37.69879,144.93354,Northern Metropolitan,8870
Mount Waverley,34 Park La,3,h,1586000,S,Stockdale,23/09/2017,14.2,3149,3,1,1,718,138,1955,Monash City Council,-37.88061,145.12449,Eastern Metropolitan,13366
Fitzroy,116 Leicester St,2,h,800000,VB,Harrington,27/06/2016,1.6,3065,2,2,1,64,138,1995,Yarra City Council,-37.7956,144.9804,Northern Metropolitan,5825
Eltham,67 Arthur St,3,h,916500,SP,Buckingham,11/11/17,18,3095,3,2,1,888,177,1960,Banyule City Council,-37.7151,145.1554,Eastern Metropolitan,6990
Dingley Village,22 Bayville Dr,5,h,1526000,S,Buxton,28/10/2017,22.2,3172,5,3,2,544,292,2016,Kingston City Council,-37.98665,145.12308,South-Eastern Metropolitan,3940
Dingley Village,5 Tarnook Ct,4,h,854000,S,Ray,15/07/2017,22.2,3172,4,2,2,676,181,1975,Kingston City Council,-37.97936,145.13302,South-Eastern Metropolitan,3940
Richmond,19 Dickens St,3,h,1270000,S,Jellis,22/08/2016,2.6,3121,2,1,1,181,102,1900,Yarra City Council,-37.8203,145.0092,Northern Metropolitan,14949
Sunshine West,14 Myers St,3,h,485000,S,hockingstuart,12/11/16,13.5,3020,3,4,2,482,166,1955,Brimbank City Council,-37.7904,144.8133,Western Metropolitan,6763
Altona,65 Sargood St,3,t,815000,S,hockingstuart,15/07/2017,11,3018,3,2,2,159,130,2014,Hobsons Bay City Council,-37.86472,144.82929,Western Metropolitan,5301
Tullamarine,56 Broadmeadows Rd,3,h,822000,S,Jason,22/07/2017,12.9,3043,3,1,1,778,112,1960,Brimbank City Council,-37.70321,144.87972,Western Metropolitan,3296
Hoppers Crossing,17 Bernhardt Av,3,h,795000,S,Barry,10/2/18,18.4,3029,3,2,4,941,160,1985,Wyndham City Council,-37.88685,144.69052,Western Metropolitan,13830
Thomastown,84 The Boulevard,3,h,740000,S,Harcourts,27/05/2017,15.3,3074,3,1,2,727,109,1952,Whittlesea City Council,-37.67873,145.01878,Northern Metropolitan,7955
Cremorne,443 Punt Rd,3,h,1475000,PI,Biggin,10/9/16,2.5,3121,3,2,2,324,165,1880,Yarra City Council,-37.8278,144.9885,Northern Metropolitan,1123
Brunswick,25/5 Evans St,3,t,981000,SP,Nelson,13/05/2017,5.2,3056,3,2,1,122,140,2012,Moreland City Council,-37.7698,144.9661,Northern Metropolitan,11918
South Yarra,366 Toorak Rd,3,h,1700000,S,Morrison,27/11/2016,3.3,3141,3,1,1,178,172,1894,Melbourne City Council,-37.8404,145.0022,Southern Metropolitan,14887
Oakleigh East,3 McKenzie Ct,2,h,1150000,S,Ray,15/07/2017,12.3,3166,2,1,3,622,122,1970,Monash City Council,-37.90168,145.11081,Southern Metropolitan,2547
Skye,20 Overall Dr,4,h,555698,SP,Ray,17/06/2017,34.7,3977,4,2,1,534,152,2002,Frankston City Council,-38.09083,145.20139,South-Eastern Metropolitan,2756
Doncaster,12 Norfolk Cct,4,h,1520000,S,Barry,26/07/2016,13.9,3108,4,3,2,657,275,2010,Manningham City Council,-37.7954,145.1379,Eastern Metropolitan,9028
Glenroy,10 Morley St,3,h,780000,S,Raine,28/10/2017,11.2,3046,3,1,4,695,100,1950,Moreland City Council,-37.70106,144.93721,Northern Metropolitan,8870
Mount Waverley,72 Albert St,4,h,1775000,VB,Fletchers,14/10/2017,14.2,3149,4,2,1,762,307,1960,Monash City Council,-37.88457,145.13436,Eastern Metropolitan,13366
Altona,22 Fenfield St,3,h,678000,S,hockingstuart,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301
Mitcham,29 Fuller St,3,h,950000,S,Noel,1/7/17,17.2,3132,3,1,2,608,138,1975,Whitehorse City Council,-37.82583,145.20608,Eastern Metropolitan,6871
Keilor East,24 Yallop Ct,4,h,735000,SP,Nelson,24/09/2016,12.8,3033,4,2,2,547,184,2000,Brimbank City Council,-37.7381,144.8554,Western Metropolitan,5629
Croydon,79 Lincoln Rd,3,h,768000,S,McGrath,21/10/2017,23,3136,3,1,2,850,148,1970,Maroondah City Council,-37.78703,145.29502,Eastern Metropolitan,11925
Coburg,12 Gordon St,4,h,865000,S,Brad,16/04/2016,7.8,3058,4,1,1,452,125,1925,Darebin City Council,-37.7525,144.948,Northern Metropolitan,11204
Mill Park,6 Parklea Ct,3,h,556500,S,LJ,3/6/17,17.9,3082,3,1,2,526,113.2,1985,Whittlesea City Council,-37.67561,145.05641,Northern Metropolitan,10529
Seaford,25 Kananook Av,3,h,955000,S,Harcourts,17/03/2018,35.4,3198,3,2,2,1000,197,1958,Frankston City Council,-38.11526,145.12831,South-Eastern Metropolitan,8077
Gowanbrae,3 Lilac Mw,4,h,790000,SP,Nelson,28/10/2017,12.9,3043,4,2,2,653,181,2002,Moreland City Council,-37.7031,144.89443,Western Metropolitan,1071
Craigieburn,7 Kangaroo Rd,4,h,530000,PI,Ray,11/11/17,20.6,3064,4,2,2,349,171,2017,Hume City Council,-37.5688,144.9016,Northern Metropolitan,15510
Doncaster East,23 Longstaff Ct,4,h,1450000,S,Jellis,28/10/2017,14.3,3109,4,2,2,872,258,1984,Manningham City Council,-37.77524,145.16846,Eastern Metropolitan,10999
Northcote,24 Jessie St,4,h,1600000,VB,Jellis,3/9/16,5.5,3070,4,2,1,464,179,1910,Darebin City Council,-37.7805,145.004,Northern Metropolitan,11364
Bentleigh,11A Mortimore St,3,h,1222500,S,Ray,4/2/16,13,3204,3,2,2,299,181,2000,Glen Eira City Council,-37.9272,145.0406,Southern Metropolitan,6795
Middle Park,123 Hambleton St,3,h,1720000,S,Greg,24/02/2018,3,3206,3,2,1,108,169,1890,Port Phillip City Council,-37.84812,144.9624,Southern Metropolitan,2019
Bentleigh,6 Atkinson St,3,h,1293000,S,Buxton,15/10/2016,13,3204,3,1,1,632,108,1950,Glen Eira City Council,-37.9282,145.0367,Southern Metropolitan,6795
West Footscray,13 Soudan Rd,3,h,840000,S,Brad,10/12/16,8.2,3012,3,1,1,442,123,1950,Maribyrnong City Council,-37.7914,144.8812,Western Metropolitan,5058
Eltham,38 Meruka Dr,4,h,1054000,S,Barry,15/07/2017,18,3095,4,3,2,791,230,1974,Banyule City Council,-37.71296,145.13773,Eastern Metropolitan,6990
Spotswood,59 Hope St,4,h,850000,VB,RT,12/11/16,7.7,3015,4,2,0,389,158,1990,Hobsons Bay City Council,-37.8284,144.8861,Western Metropolitan,1223
Maidstone,14 Howard St,4,h,773000,S,Biggin,30/07/2016,9.2,3012,4,1,2,333,137,1970,Maribyrnong City Council,-37.7893,144.8818,Western Metropolitan,3873
Preston,22 Furzer St,3,h,1200000,S,Love,15/10/2016,8.8,3072,3,1,1,847,120,1965,Darebin City Council,-37.7279,144.9849,Northern Metropolitan,14577
Mill Park,45 Konrads Cr,3,h,660000,S,RW,14/10/2017,17.9,3082,3,2,1,537,132,1980,Whittlesea City Council,-37.66925,145.04983,Northern Metropolitan,10529
Yarraville,12 Montague St,3,h,1230000,S,Jas,15/07/2017,6.3,3013,3,1,2,433,144,1880,Maribyrnong City Council,-37.81183,144.88569,Western Metropolitan,6543
Sunshine West,10 Mayne St,3,h,713500,S,Douglas,3/9/17,10.5,3020,3,1,2,520,131,1968,Brimbank City Council,-37.79128,144.82362,Western Metropolitan,6763
Doncaster East,85 Polaris Dr,4,h,1330000,PI,Barry,14/10/2017,14.3,3109,4,2,2,864,188,1970,Manningham City Council,-37.77875,145.17409,Eastern Metropolitan,10999
Burwood,6 Alimar Ct,4,h,1410000,S,Buxton,27/06/2016,11.7,3125,3,2,3,739,182,1970,Monash City Council,-37.8552,145.1292,Southern Metropolitan,5678
Kew,176 Cotham Rd,4,h,2625000,PI,Marshall,18/03/2017,5.6,3101,4,2,2,717,225,1890,Boroondara City Council,-37.8083,145.0418,Southern Metropolitan,10331
Templestowe,21 Wood St,4,h,910000,PI,Woodards,23/09/2017,15.5,3106,4,2,2,520,170,1980,Manningham City Council,-37.75436,145.11939,Eastern Metropolitan,6202
Eltham North,15 Marian Ct,4,h,950000,PI,Buckingham,9/9/17,18,3095,4,2,2,651,198,1990,Banyule City Council,-37.68739,145.14437,Eastern Metropolitan,2346
Greenvale,17 Arkley Dr,4,h,645000,S,Barry,17/06/2017,20.4,3059,3,2,2,538,154,2000,Hume City Council,-37.6499,144.9013,Northern Metropolitan,4864
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,10/12/16,3.3,3206,3,2,1,177,181,1880,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280
Sunshine North,6 Gresford St,4,h,735000,S,Douglas,16/04/2016,13.3,3020,4,2,5,635,201,1975,Brimbank City Council,-37.7693,144.8351,Western Metropolitan,4217
Templestowe Lower,34 Parker St,3,h,1210000,PI,Barry,18/03/2017,13.8,3107,3,1,1,794,134,1960,Manningham City Council,-37.7569,145.1179,Eastern Metropolitan,5420
Clarinda,10 Boree Av,4,h,1241000,S,Woodards,12/8/17,17.5,3169,4,2,2,625,625,1950,Kingston City Council,-37.92801,145.1057,South-Eastern Metropolitan,2727
Maidstone,3/83 Mitchell St,3,t,895000,S,Rendina,1/7/17,6.4,3012,3,2,2,262,153,2004,Maribyrnong City Council,-37.78284,144.88098,Western Metropolitan,3873
Doncaster,11 Harvell Ct,3,h,1351000,S,Fletchers,14/10/2017,12.4,3108,3,3,2,681,221,1985,Manningham City Council,-37.76941,145.13325,Eastern Metropolitan,9028
Seddon,27 thomson St,2,h,955000,SP,Jas,19/11/2016,6.6,3011,2,1,0,148,72,1912,Maribyrnong City Council,-37.8084,144.8907,Western Metropolitan,2417
Coburg North,3 Golf Rd,3,h,860000,PI,Jellis,19/11/2016,9.2,3058,3,2,3,472,134,1970,Darebin City Council,-37.734,144.9728,Northern Metropolitan,3445
Frankston,31 Wangarra Rd,4,h,585000,PI,O'Brien,9/12/17,38,3199,4,2,2,648,152,1966,Frankston City Council,-38.14301,145.14912,South-Eastern Metropolitan,17055
Keysborough,2 Eildon Dr,4,h,745000,S,C21,3/6/17,25.2,3173,4,2,1,624,159,1969,Greater Dandenong City Council,-37.9887,145.16158,South-Eastern Metropolitan,8459
Oakleigh,2 William St,4,h,1546000,S,Buxton,3/3/18,12.3,3166,4,2,2,541,190,1920,Monash City Council,-37.90114,145.10357,Southern Metropolitan,3224
Footscray,88 Eleanor St,3,h,775000,SP,Sweeney,16/07/2016,6.4,3011,3,1,1,242,99,1920,Maribyrnong City Council,-37.7956,144.8848,Western Metropolitan,7570
Eaglemont,8 Outlook Dr,4,h,2550000,VB,Miles,27/11/2016,10.3,3084,4,2,2,1484,478,1970,Banyule City Council,-37.769,145.0616,Eastern Metropolitan,1651
Avondale Heights,68 MacEy Av,3,h,785000,PI,Nelson,14/10/2017,9.5,3034,3,1,1,595,96,1950,Moonee Valley City Council,-37.76342,144.86305,Western Metropolitan,4502
Kew East,136 Kilby Rd,3,h,1402000,S,Nelson,22/04/2017,7.5,3102,3,2,2,422,120,1950,Boroondara City Council,-37.7927,145.056,Southern Metropolitan,2671
Preston,66 McNamara St,4,h,1148000,S,Nelson,12/8/17,8.4,3072,4,1,2,552,140,1940,Darebin City Council,-37.72879,144.98538,Northern Metropolitan,14577
Brunswick,1/46 Davies St,2,h,650000,S,Jellis,29/07/2017,5.2,3056,2,1,1,108,70,1970,Moreland City Council,-37.75715,144.96824,Northern Metropolitan,11918
Moonee Ponds,6 Robinson St,4,h,1640000,S,Brad,16/07/2016,6.9,3039,4,2,1,435,329,1920,Moonee Valley City Council,-37.7601,144.9228,Western Metropolitan,6232
Reservoir,6 MacKenzie St,3,h,718500,S,Nelson,28/05/2016,11.2,3073,3,1,6,807,133,1975,Darebin City Council,-37.704,144.9864,Northern Metropolitan,21650
Cheltenham,46 Snowdon Dr,5,h,1360000,S,Ray,17/02/2018,17.9,3192,5,3,6,600,188,1970,Bayside City Council,-37.97306,145.08198,Southern Metropolitan,9758
Watsonia North,22 Trist St,3,h,700000,SP,Barry,6/1/18,14.5,3087,3,1,1,402,108,1970,Banyule City Council,-37.70194,145.08901,Northern Metropolitan,1442
Oak Park,104 Vincent St,3,h,780000,PI,Brad,14/10/2017,11.2,3046,3,1,1,570,123,1960,Moreland City Council,-37.71611,144.91064,Northern Metropolitan,2651
Preston,42 Tyler St,3,h,725000,S,Barry,3/6/17,8.4,3072,3,1,2,590,94,1950,Darebin City Council,-37.73314,145.03437,Northern Metropolitan,14577
Fitzroy North,70 Park St,4,h,1785000,S,Nelson,14/05/2016,3.5,3068,4,2,1,188,165,1900,Moreland City Council,-37.7815,144.9869,Northern Metropolitan,6244
Oak Park,7 Pines Gr,4,h,690000,S,Brad,10/9/16,11.5,3046,3,1,1,553,137,1960,Moreland City Council,-37.7161,144.9165,Northern Metropolitan,2651
Brunswick,3/5 Evans St,3,u,880000,S,Dingle,10/12/16,5.2,3056,3,2,1,122,152,2000,Moreland City Council,-37.7697,144.9649,Northern Metropolitan,11918
Mulgrave,12 Brookland Ct,4,h,1080000,S,Ray,23/09/2017,18.8,3170,4,2,2,914,204,1980,Monash City Council,-37.93173,145.19475,South-Eastern Metropolitan,7113
Frankston,7 Orrong Av,3,h,1010000,S,Ray,9/9/17,38,3199,3,2,2,306,125,1970,Frankston City Council,-38.1386,145.12142,South-Eastern Metropolitan,17055
Werribee,25 Swan St,3,h,491500,S,Ray,17/03/2018,14.7,3030,3,1,2,514,151,1980,Wyndham City Council,-37.88318,144.66005,Western Metropolitan,16166
Wantirna South,11 Kirrum Cl,5,h,1310000,S,Harcourts,29/07/2017,14.7,3152,5,3,2,818,255,1985,Knox City Council,-37.87846,145.24212,Eastern Metropolitan,7082
Mitcham,27 Forster St,2,h,655000,S,Barry,27/05/2017,17.2,3132,2,1,4,446,82,1975,Whitehorse City Council,-37.81906,145.21253,Eastern Metropolitan,6871
Sunshine West,73 Hilma St,3,h,760000,S,Barry,29/07/2017,10.5,3020,3,1,2,1143,100,1980,Brimbank City Council,-37.79135,144.79948,Western Metropolitan,6763
Preston,35 James St,4,h,810000,S,Ray,10/9/16,8.8,3072,4,2,2,1034,151,1950,Darebin City Council,-37.7379,144.9851,Northern Metropolitan,14577
Flemington,4 Farnham St,3,h,1115000,S,Nelson,27/11/2016,4.4,3031,3,1,1,244,84,1940,Melbourne City Council,-37.7823,144.9278,Northern Metropolitan,3593
Doncaster,34 Henry St,5,h,1600000,PI,Barry,3/6/17,12.4,3108,5,2,2,757,335,1980,Manningham City Council,-37.77536,145.13163,Eastern Metropolitan,9028
Elwood,2 Docker St,3,h,1625000,S,McGrath,17/09/2016,7.7,3184,3,2,1,246,133,1950,Port Phillip City Council,-37.8861,144.9877,Southern Metropolitan,8989
Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,22/05/2016,11.1,3025,4,2,4,315,170,2008,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,5132
Fawkner,5 Kiddle St,4,h,850000,S,Ray,28/10/2017,13.1,3060,4,3,3,367,217,2012,Hume City Council,-37.71734,144.97057,Northern Metropolitan,5070
Bentleigh East,978 North Rd,3,h,959000,S,Ray,29/04/2017,13.9,3165,3,2,2,557,119,1960,Glen Eira City Council,-37.9076,145.068,Southern Metropolitan,10969
Essendon,1/35 William St,2,u,740000,S,Nelson,24/09/2016,8,3040,2,1,1,250,104,1988,Moonee Valley City Council,-37.7457,144.9061,Western Metropolitan,9264
Croydon,9 Columbia Av,5,h,1188000,S,hockingstuart,26/08/2017,23,3136,5,2,2,864,294,1980,Maroondah City Council,-37.79546,145.27002,Eastern Metropolitan,11925
Hawthorn,24/1 Muir St,3,h,1100000,S,Marshall,15/07/2017,5.3,3122,3,2,1,109,109.5,1999,Boroondara City Council,-37.81442,145.01531,Southern Metropolitan,11308
South Yarra,25 Albion St,3,h,2160000,S,Jellis,17/03/2018,2.7,3141,3,2,0,217,175,1930,Melbourne City Council,-37.84305,144.98701,Southern Metropolitan,14887
Craigieburn,37 Viewside Cr,4,h,580000,S,Ray,28/10/2017,20.6,3064,4,2,2,350,168,2011,Hume City Council,-37.57532,144.91332,Northern Metropolitan,15510
Kensington,10 Altona St,2,h,905000,S,Edward,8/10/16,4.2,3031,2,2,1,138,126,1999,Melbourne City Council,-37.799,144.9276,Northern Metropolitan,5263
Camberwell,2 Thomas St,3,h,1690000,PI,hockingstuart,4/6/16,7.8,3124,3,2,1,777,154,1950,Boroondara City Council,-37.8431,145.0962,Southern Metropolitan,8920
Hampton,3 Banks Av,3,h,2095000,S,Buxton,14/10/2017,13.8,3188,3,2,1,544,197,1920,Bayside City Council,-37.94311,145.01272,Southern Metropolitan,5454
Middle Park,307 Beaconsfield Pde,4,h,6370000,S,Greg,14/10/2017,3,3206,4,3,3,476,279,1893,Port Phillip City Council,-37.85601,144.96596,Southern Metropolitan,2019
Doncaster,3/11 Frank St,4,t,973500,S,Ray,27/11/2016,13.9,3108,4,2,2,234,160,2009,Manningham City Council,-37.7932,145.1275,Eastern Metropolitan,9028
Hawthorn,10 Oak St,4,h,3225000,S,Jellis,13/08/2016,4.6,3122,4,2,2,665,220,1890,Boroondara City Council,-37.814,145.0175,Southern Metropolitan,11308
Carlton North,235 Amess St,4,h,3450000,S,Nelson,13/05/2017,3.2,3054,4,2,1,515,203,1905,Melbourne City Council,-37.7817,144.9742,Northern Metropolitan,3106
Oakleigh,38 Henry St,3,h,1320000,PI,Ray,17/02/2018,12.3,3166,3,1,2,543,152,1950,Monash City Council,-37.90452,145.10391,Southern Metropolitan,3224
Burnley,92 Madden Gr,2,h,881000,SP,Jellis,16/04/2016,3.5,3121,2,1,1,172,94,1900,Yarra City Council,-37.8283,145.012,Northern Metropolitan,438
Melbourne,709/87 Franklin St,2,u,565000,S,MICM,29/07/2017,0,3000,2,1,0,89,85,2003,Melbourne City Council,-37.80802,144.96168,Northern Metropolitan,17496
Ormond,58 Draper St,4,h,1845000,S,Buxton,15/10/2016,11.8,3204,4,3,1,718,189,1939,Glen Eira City Council,-37.9061,145.0509,Southern Metropolitan,3578
Port Melbourne,126 Heath St,3,h,3705000,S,Greg,27/11/2016,3.8,3207,3,2,2,214,241,2014,Melbourne City Council,-37.8341,144.9458,Southern Metropolitan,8648
Glen Iris,33 Rosedale Rd,5,h,3085000,S,Marshall,18/03/2017,9.2,3146,5,3,3,778,326,2000,Boroondara City Council,-37.8582,145.0715,Southern Metropolitan,10412
Sunshine,15 Maryvale St,3,h,927500,S,Douglas,25/11/2017,10.5,3020,3,1,4,474,145,1961,Brimbank City Council,-37.7839,144.8361,Western Metropolitan,3755
Doncaster,4 Ella Ct,4,h,1300000,PI,Ray,8/4/17,13.9,3108,4,2,2,872,185,1970,Manningham City Council,-37.7906,145.1138,Eastern Metropolitan,9028
Thornbury,1/44 Hammond St,3,u,880000,SP,McGrath,29/04/2017,6.5,3071,3,1,2,242,117,1995,Darebin City Council,-37.7639,145.0135,Northern Metropolitan,8870
Caulfield North,123 Normanby Rd,4,h,2170000,S,Gary,28/08/2016,8.1,3161,4,2,1,810,215,1915,Glen Eira City Council,-37.8698,145.0325,Southern Metropolitan,6923
Highett,25 Haynes St,3,h,1430000,S,Hodges,6/1/18,16,3190,3,2,2,728,137,1960,Bayside City Council,-37.94938,145.03099,Southern Metropolitan,4794
Keilor East,15 Viewbank Dr,4,h,816000,S,Barry,4/3/17,12.8,3033,4,2,1,540,188,1978,Brimbank City Council,-37.7482,144.877,Western Metropolitan,5629
Footscray,21 Stafford St,3,h,931000,SP,Jas,24/02/2018,5.1,3011,3,1,0,240,101,1930,Maribyrnong City Council,-37.79392,144.88418,Western Metropolitan,7570
Point Cook,4 Ventura Pl,3,h,673000,S,Reliance,11/11/17,14.7,3030,3,2,2,584,166,2000,Wyndham City Council,-37.8797,144.7405,Western Metropolitan,15542
Balwyn,316 Belmore Rd,4,h,1750000,PI,Ascend,10/12/16,9.7,3103,4,3,2,453,308,2016,Boroondara City Council,-37.8044,145.1006,Southern Metropolitan,5682
Moorabbin,5 Schofield St,4,h,1426000,S,McGrath,10/9/16,14.6,3189,4,2,1,720,218,1950,Kingston City Council,-37.9394,145.0408,Southern Metropolitan,2555
Maidstone,72B Richelieu St,3,t,702000,S,Jas,15/07/2017,6.4,3012,3,2,2,189,131,2000,Maribyrnong City Council,-37.78606,144.87205,Western Metropolitan,3873
Sunshine,1 Walter St,4,h,1030000,S,Sweeney,7/5/16,12.6,3020,4,2,2,803,309,2002,Brimbank City Council,-37.7932,144.8434,Western Metropolitan,3755
Maribyrnong,26 Riverbank Dr,4,h,1190000,VB,Nelson,14/10/2017,4.3,3032,4,2,2,476,212,2001,Maribyrnong City Council,-37.76485,144.88545,Western Metropolitan,4918
Coburg North,15 Arthur St,3,h,940000,S,Nelson,10/2/18,6.7,3058,3,2,2,653,115,1970,Darebin City Council,-37.72385,144.98324,Northern Metropolitan,3445
Pakenham,13 Rogers St,4,h,571000,S,O'Brien,9/12/17,47.3,3810,4,2,1,799,159,1970,Cardinia Shire Council,-38.07652,145.4779,Eastern Victoria,17384
Yarra Glen,15 Yarra St,3,h,620000,SP,Buckingham,22/07/2017,31.4,3775,3,2,1,863,180.56,1975,Yarra Ranges Shire Council,-37.65391,145.37389,Northern Victoria,1160
Kew,60 Childers St,3,h,1500000,PI,Marshall,27/11/2016,5.6,3101,3,1,2,857,130,1941,Boroondara City Council,-37.7981,145.0423,Southern Metropolitan,10331
Moorabbin,2/1 Barbara St,2,u,605000,S,Ray,19/11/2016,14.6,3189,2,1,2,180,68,1980,Kingston City Council,-37.9363,145.0564,Southern Metropolitan,2555
Reservoir,1/40 McComas St,2,u,410000,S,Love,7/11/16,11.2,3073,2,1,1,180,61,2004,Darebin City Council,-37.7283,145.0207,Northern Metropolitan,21650
Edithvale,115 Ella Gr,3,h,875000,SP,Eview,19/08/2017,27,3196,3,1,3,694,136,1975,Kingston City Council,-38.03819,145.12443,South-Eastern Metropolitan,2546
Mooroolbark,6 Esther Cr,3,h,870000,PI,McGrath,28/10/2017,26.5,3138,3,1,2,853,135,1980,Yarra Ranges Shire Council,-37.78156,145.30784,Eastern Victoria,8280
Airport West,58 Fraser St,4,h,1220000,S,Barry,9/12/17,10.4,3042,4,2,5,585,214,1960,Moonee Valley City Council,-37.72379,144.88391,Western Metropolitan,3464
Brighton,31 Orchard St,5,h,2100000,PI,Hodges,16/04/2016,11.2,3186,5,5,2,552,219,1920,Bayside City Council,-37.9012,144.997,Southern Metropolitan,10579
Kensington,54 McConnell St,4,h,1415000,SP,Biggin,17/06/2017,3.4,3031,4,2,0,199,96,1982,Melbourne City Council,-37.7916,144.92855,Northern Metropolitan,5263
Gladstone Park,16 Hall Rd,3,h,650000,SP,Barry,18/11/2017,12.9,3043,3,1,4,549,114,1980,Hume City Council,-37.6916,144.8982,Western Metropolitan,3285
Mont Albert,48 Kenmare St,3,h,2588000,SP,Fletchers,7/11/16,11.8,3127,3,3,2,1149,225,1920,Boroondara City Council,-37.812,145.1095,Eastern Metropolitan,2079
Preston,5/49 Austral Av,1,u,250000,PI,hockingstuart,22/07/2017,8.4,3072,1,1,1,631,34,1965,Darebin City Council,-37.74495,144.99322,Northern Metropolitan,14577
Carnegie,73 Truganini Rd,4,h,1655000,PI,Marshall,25/02/2017,11.4,3163,4,2,2,595,221,1915,Glen Eira City Council,-37.8916,145.0543,Southern Metropolitan,7822
Dandenong North,110 Gladstone Rd,3,h,627000,S,Barry,1/7/17,24.7,3175,3,1,1,610,120,1970,Greater Dandenong City Council,-37.96322,145.20586,South-Eastern Metropolitan,8322
South Melbourne,25 Mountain St,3,h,1270000,S,hockingstuart,4/3/17,2.1,3205,3,1,0,149,104,1900,Port Phillip City Council,-37.8374,144.9495,Southern Metropolitan,5943
South Melbourne,315 Moray St,4,h,2180000,S,Marshall,10/12/16,2.1,3205,4,3,1,200,153,1860,Port Phillip City Council,-37.836,144.965,Southern Metropolitan,5943
Pascoe Vale,259 Sussex St,3,h,612500,S,Brad,28/05/2016,9.9,3044,3,1,1,522,132,1950,Moreland City Council,-37.7187,144.9514,Northern Metropolitan,7485
Heidelberg West,163 Dougharty Rd,2,h,440500,S,hockingstuart,16/07/2016,9.4,3081,2,1,1,368,81,1955,Banyule City Council,-37.7341,145.0434,Eastern Metropolitan,2674
Narre Warren,12 Emily Dr,4,h,792500,S,Harcourts,16/09/2017,34.1,3805,4,2,2,846,174,1996,Casey City Council,-38.00626,145.29079,South-Eastern Metropolitan,9376
Elwood,5 Tiuna Gr,3,h,3572000,S,Marshall,12/11/16,7.7,3184,4,2,6,737,207,1915,Port Phillip City Council,-37.8839,144.9831,Southern Metropolitan,8989
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/16,3.3,3206,3,2,1,132,159,1996,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280
Surrey Hills,36 Banool Rd,4,h,2440000,S,Marshall,3/9/16,11.2,3127,4,3,2,596,264,1930,Boroondara City Council,-37.8154,145.0927,Southern Metropolitan,5457
Surrey Hills,29 Essex Rd,4,h,1810000,S,Garvey,16/09/2017,10.2,3127,4,3,2,349,223,1997,Boroondara City Council,-37.82832,145.09242,Southern Metropolitan,5457
Essendon,3/1 Cameron Rd,4,t,1185000,S,Barry,3/9/17,7.5,3040,4,3,1,205,168,2010,Moonee Valley City Council,-37.74588,144.927,Western Metropolitan,9264
Springvale,40 Gove St,3,h,1120000,PI,LJ,17/03/2018,20.8,3171,3,1,2,875,134,1950,Greater Dandenong City Council,-37.94282,145.15888,South-Eastern Metropolitan,7412
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/16,2.5,3067,3,1,2,220,75,1900,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019
Carlton North,521 Canning St,2,h,1520000,PI,Woodards,3/9/17,3.5,3054,2,1,1,193,106,1900,Melbourne City Council,-37.78406,144.97494,Northern Metropolitan,3106
Mill Park,11 Woolnough Dr,3,h,602000,S,Ray,8/7/17,17.9,3082,3,1,1,546,136,1977,Whittlesea City Council,-37.65359,145.04276,Northern Metropolitan,10529
Heidelberg West,29 Morotai Pde,4,h,758000,S,Miles,17/09/2016,9.4,3081,4,1,1,632,152,1955,Banyule City Council,-37.7466,145.0428,Eastern Metropolitan,2674
Ashburton,33 Highgate Gr,4,h,1790000,PI,hockingstuart,28/05/2016,11,3147,4,2,2,514,240,1935,Boroondara City Council,-37.8664,145.0772,Southern Metropolitan,3052
Chelsea Heights,11 Rebecca Cl,5,h,835500,S,Ray,29/07/2017,27,3196,5,5,4,570,243,1990,Kingston City Council,-38.03335,145.13212,South-Eastern Metropolitan,2076
Glenroy,8 Kalang Rd,3,h,922000,S,Eview,27/05/2017,11.2,3046,3,1,1,584,153,1960,Moreland City Council,-37.71016,144.9215,Northern Metropolitan,8870
Thornbury,142 Normanby Av,2,h,903000,SP,McGrath,17/02/2018,7,3071,2,1,1,177,90,1915,Darebin City Council,-37.75801,144.98758,Northern Metropolitan,8870
Mill Park,2/2 Comeram Ct,2,u,460000,S,Love,1/7/17,17.9,3082,2,1,1,241,88,2000,Whittlesea City Council,-37.67231,145.05878,Northern Metropolitan,10529
Northcote,6 Clarke St,3,h,1050000,SP,Nelson,15/10/2016,5.5,3070,3,1,0,158,106,1910,Darebin City Council,-37.7756,144.9891,Northern Metropolitan,11364
